epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,876.509,0.78087,0.82111,0.88865,0.9921,0.98601,0.99447,0.78618,0.76943,0.55519,0.87868,0.000666205,0.000666205,0.000666205
2,1744.65,0.72361,0.48528,0.87555,0.99007,0.98402,0.99427,0.75423,0.92778,0.49673,0.93225,0.0012449,0.0012449,0.0012449
3,2565.02,0.68711,0.43375,0.86999,0.98499,0.98352,0.99348,0.74625,0.98247,0.47818,0.9764,0.0017356,0.0017356,0.0017356
4,3410.94,0.67102,0.40807,0.86979,0.99453,0.99101,0.99471,0.71787,1.04405,0.48998,1.00679,0.001604,0.001604,0.001604
5,4269.69,0.64191,0.38214,0.86339,0.99407,0.98701,0.99461,0.81469,0.77371,0.43183,0.90228,0.001472,0.001472,0.001472
6,5120.19,0.62419,0.36236,0.85619,0.99501,0.997,0.99419,0.80092,0.76942,0.42511,0.89619,0.00134,0.00134,0.00134
7,5972.56,0.59854,0.33939,0.85388,0.99386,0.99201,0.99451,0.80127,0.82966,0.42521,0.9448,0.001208,0.001208,0.001208
8,6820.56,0.5888,0.33141,0.84985,0.98169,0.99001,0.99013,0.80477,0.78296,0.41351,0.92869,0.001076,0.001076,0.001076
9,7667.98,0.58922,0.32368,0.85492,0.98511,0.98901,0.99251,0.82239,0.725,0.38106,0.90929,0.000944,0.000944,0.000944
10,8514.24,0.57473,0.31378,0.85354,0.98819,0.99101,0.99377,0.8239,0.69918,0.37187,0.9078,0.000812,0.000812,0.000812
11,9360.64,0.55554,0.29847,0.84822,0.9966,0.995,0.99422,0.8485,0.66633,0.35693,0.8858,0.00068,0.00068,0.00068
12,10205.3,0.54579,0.28473,0.84511,0.994,0.99218,0.9939,0.82834,0.69879,0.34544,0.9038,0.000548,0.000548,0.000548
13,11053.1,0.53255,0.27676,0.84172,0.99274,0.995,0.99399,0.84996,0.65805,0.34293,0.89343,0.000416,0.000416,0.000416
14,11905,0.51867,0.26509,0.84247,0.993,0.99156,0.9939,0.8497,0.66242,0.34064,0.88854,0.000284,0.000284,0.000284
15,12754.2,0.51552,0.25626,0.83945,0.99004,0.99352,0.99409,0.86096,0.62602,0.32083,0.88303,0.000152,0.000152,0.000152
